nim,nama,jenis_kelamin,program_studi,angkatan,semester,status_akademik,ipk,sks_lulus,kehadiran_persen,golongan_ukt,nominal_ukt,tunggakan_ukt,status_pembayaran,dosen_pa
22040001,Tiara Maulana,P,D3 Sistem Informasi,2022,9,Lulus,3.33,148,79.8,8,8500000,0,Lunas,"Hendra Gunawan, M.Kom"
22040002,Elsa Utami,P,D3 Sistem Informasi,2022,9,Non-Aktif,2.85,148,84.4,5,4600000,4600000,Menunggak,"Ir. Bambang Setyo, M.Kom"
22040003,Rizky Ramadhan,L,D3 Sistem Informasi,2022,9,Lulus,3.46,148,84.0,3,2400000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22040004,Wahyu Setiawan,L,D3 Sistem Informasi,2022,9,Lulus,3.65,148,93.8,2,1000000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22040005,Bimo Kusuma,L,D3 Sistem Informasi,2022,9,Lulus,3.09,148,75.8,4,3500000,0,Lunas,Dr. Sri Wahyuni
22040006,Andre Lestari,L,D3 Sistem Informasi,2022,9,Aktif,2.77,148,72.5,4,3500000,0,Lunas,"Rizal Fadhillah, M.T"
22040007,Taufik Setiawan,L,D3 Sistem Informasi,2022,9,Aktif,3.2,148,87.8,3,2400000,0,Lunas,"Dwi Handayani, M.Kom"
22040008,Cahaya Utami,P,D3 Sistem Informasi,2022,9,Aktif,2.86,146,79.2,6,5800000,0,Lunas,Dr. Sri Wahyuni
22040009,Lutfi Setiawan,L,D3 Sistem Informasi,2022,9,Aktif,2.67,143,74.5,4,3500000,0,Lunas,"Nur Aisyah, M.Sc"
22040010,Dewi Nugroho,P,D3 Sistem Informasi,2022,9,Aktif,3.86,148,92.2,3,2400000,0,Lunas,"Rizal Fadhillah, M.T"
22040011,Wahyu Saputra,L,D3 Sistem Informasi,2022,9,Aktif,3.05,148,81.1,4,3500000,0,Lunas,"Dwi Handayani, M.Kom"
22040012,Salsabila Anggraini,P,D3 Sistem Informasi,2022,9,Aktif,2.54,148,71.2,8,8500000,0,Lunas,"Yuni Kartika, M.T"
22040013,Galih Hidayat,L,D3 Sistem Informasi,2022,9,Cuti,3.99,148,83.9,4,3500000,0,Lunas,"Ir. Bambang Setyo, M.Kom"
22040014,Andini Lestari,P,D3 Sistem Informasi,2022,9,Aktif,2.57,143,76.6,2,1000000,0,Lunas,"Hendra Gunawan, M.Kom"
22040015,Fikri Maulana,L,D3 Sistem Informasi,2022,9,Aktif,3.29,148,92.6,6,5800000,0,Lunas,"Dwi Handayani, M.Kom"
